"ltv","ttime","abt","tue"
"{""n"":""229.99999999999997""}","{""n"":""1862485""}","{""n"":""1""}","{""n"":""116""}"
"{""n"":""200""}","{""n"":""304573""}","{""n"":""7""}","{""n"":""25""}"
"{""n"":""200""}","{""n"":""214071""}","{""n"":""6""}","{""n"":""35""}"
"{""n"":""172""}","{""n"":""0""}","{""n"":""3""}","{""n"":""15""}"
"{""n"":""150""}","{""n"":""604886""}","{""n"":""15""}","{""n"":""19""}"
"{""n"":""200""}","{""n"":""730770""}","{""n"":""26""}","{""n"":""45""}"
"{""n"":""180""}","{""n"":""0""}","{""n"":""39""}","{""n"":""15""}"
"{""n"":""300""}","{""n"":""675790""}","{""n"":""35""}","{""n"":""15""}"
"{""n"":""180""}","{""n"":""4344287""}","{""n"":""60""}","{""n"":""254""}"
"{""n"":""250""}","{""n"":""1048249""}","{""n"":""58""}","{""n"":""38""}"
"{""n"":""670""}","{""n"":""472389""}","{""n"":""27""}","{""n"":""20""}"
"{""n"":""350""}","{""n"":""391798""}","{""n"":""57""}","{""n"":""35""}"
"{""n"":""450""}","{""n"":""1857187""}","{""n"":""53""}","{""n"":""35""}"
"{""n"":""250""}","{""n"":""727715""}","{""n"":""29""}","{""n"":""27""}"
"{""n"":""300""}","{""n"":""1333460""}","{""n"":""3""}","{""n"":""100""}"
"{""n"":""385""}","{""n"":""277996""}","{""n"":""35""}","{""n"":""15""}"
"{""n"":""825""}","{""n"":""61009225""}","{""n"":""18""}","{""n"":""926""}"
"{""n"":""325""}","{""n"":""4825509""}","{""n"":""19""}","{""n"":""150""}"
"{""n"":""400""}","{""n"":""124299073""}","{""n"":""6""}","{""n"":""827""}"
"{""n"":""200""}","{""n"":""64294""}","{""n"":""20""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""0""}","{""n"":""48""}","{""n"":""15""}"
"{""n"":""385""}","{""n"":""0""}","{""n"":""36""}","{""n"":""15""}"
"{""n"":""172""}","{""n"":""2679995""}","{""n"":""13""}","{""n"":""53""}"
"{""n"":""200""}","{""n"":""139539""}","{""n"":""23""}","{""n"":""15""}"
"{""n"":""49""}","{""n"":""216095""}","{""n"":""1""}","{""n"":""18""}"
"{""n"":""300""}","{""n"":""58118""}","{""n"":""1""}","{""n"":""15""}"
"{""n"":""150""}","{""n"":""2006789""}","{""n"":""58""}","{""n"":""61""}"
"{""n"":""140""}","{""n"":""325052""}","{""n"":""13""}","{""n"":""19""}"
"{""n"":""200""}","{""n"":""60063""}","{""n"":""43""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""2180182""}","{""n"":""54""}","{""n"":""64""}"
"{""n"":""49""}","{""n"":""0""}","{""n"":""31""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""568708""}","{""n"":""25""}","{""n"":""23""}"
"{""n"":""200""}","{""n"":""0""}","{""n"":""59""}","{""n"":""15""}"
"{""n"":""229.99999999999997""}","{""n"":""205948""}","{""n"":""40""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""25922""}","{""n"":""48""}","{""n"":""15""}"
"{""n"":""600""}","{""n"":""339693""}","{""n"":""31""}","{""n"":""25""}"
"{""n"":""200""}","{""n"":""3985752""}","{""n"":""52""}","{""n"":""36""}"
"{""n"":""520""}","{""n"":""3358086""}","{""n"":""9""}","{""n"":""245""}"
"{""n"":""200""}","{""n"":""0""}","{""n"":""27""}","{""n"":""15""}"
"{""n"":""575""}","{""n"":""8280426""}","{""n"":""17""}","{""n"":""221""}"
"{""n"":""200""}","{""n"":""56004""}","{""n"":""47""}","{""n"":""15""}"
"{""n"":""1100""}","{""n"":""5624768""}","{""n"":""5""}","{""n"":""368""}"
"{""n"":""1070""}","{""n"":""14820374""}","{""n"":""36""}","{""n"":""866""}"
"{""n"":""125""}","{""n"":""11283756""}","{""n"":""40""}","{""n"":""191""}"
"{""n"":""360""}","{""n"":""310268""}","{""n"":""59""}","{""n"":""25""}"
"{""n"":""601""}","{""n"":""55654""}","{""n"":""22""}","{""n"":""15""}"
"{""n"":""306""}","{""n"":""936112""}","{""n"":""60""}","{""n"":""38""}"
"{""n"":""250""}","{""n"":""0""}","{""n"":""15""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""2922133""}","{""n"":""42""}","{""n"":""87""}"
"{""n"":""551""}","{""n"":""107953""}","{""n"":""53""}","{""n"":""15""}"
"{""n"":""607""}","{""n"":""2276607""}","{""n"":""29""}","{""n"":""59""}"
"{""n"":""100""}","{""n"":""13429889""}","{""n"":""18""}","{""n"":""84""}"
"{""n"":""172""}","{""n"":""2540014""}","{""n"":""39""}","{""n"":""38""}"
"{""n"":""126""}","{""n"":""1377498""}","{""n"":""20""}","{""n"":""38""}"
"{""n"":""200""}","{""n"":""1247243""}","{""n"":""54""}","{""n"":""40""}"
"{""n"":""876""}","{""n"":""28504278""}","{""n"":""34""}","{""n"":""301""}"
"{""n"":""250""}","{""n"":""0""}","{""n"":""17""}","{""n"":""15""}"
"{""n"":""101""}","{""n"":""330641""}","{""n"":""60""}","{""n"":""20""}"
"{""n"":""49""}","{""n"":""1100587""}","{""n"":""20""}","{""n"":""19""}"
"{""n"":""600""}","{""n"":""626512""}","{""n"":""33""}","{""n"":""42""}"
"{""n"":""229.99999999999997""}","{""n"":""346709""}","{""n"":""34""}","{""n"":""21""}"
"{""n"":""200""}","{""n"":""12096""}","{""n"":""42""}","{""n"":""15""}"
"{""n"":""150""}","{""n"":""966260""}","{""n"":""12""}","{""n"":""27""}"
"{""n"":""800""}","{""n"":""2012543""}","{""n"":""28""}","{""n"":""62""}"
"{""n"":""150""}","{""n"":""111471""}","{""n"":""14""}","{""n"":""15""}"
"{""n"":""300""}","{""n"":""1557823""}","{""n"":""35""}","{""n"":""34""}"
"{""n"":""229.99999999999997""}","{""n"":""743362""}","{""n"":""18""}","{""n"":""53""}"
"{""n"":""600""}","{""n"":""5597381""}","{""n"":""50""}","{""n"":""153""}"
"{""n"":""445""}","{""n"":""20318367""}","{""n"":""51""}","{""n"":""152""}"
"{""n"":""250""}","{""n"":""661858""}","{""n"":""37""}","{""n"":""25""}"
"{""n"":""250""}","{""n"":""359154""}","{""n"":""44""}","{""n"":""25""}"
"{""n"":""775""}","{""n"":""218028610""}","{""n"":""45""}","{""n"":""853""}"
"{""n"":""607""}","{""n"":""1009736""}","{""n"":""48""}","{""n"":""38""}"
"{""n"":""150""}","{""n"":""8329150""}","{""n"":""22""}","{""n"":""122""}"
"{""n"":""450""}","{""n"":""3710089""}","{""n"":""35""}","{""n"":""117""}"
"{""n"":""350""}","{""n"":""1687055""}","{""n"":""20""}","{""n"":""40""}"
"{""n"":""150""}","{""n"":""1252194""}","{""n"":""18""}","{""n"":""30""}"
"{""n"":""975""}","{""n"":""33929888""}","{""n"":""4""}","{""n"":""849""}"
"{""n"":""600""}","{""n"":""315022""}","{""n"":""42""}","{""n"":""24""}"
"{""n"":""430""}","{""n"":""285241""}","{""n"":""56""}","{""n"":""33""}"
"{""n"":""250""}","{""n"":""193904""}","{""n"":""5""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""219085""}","{""n"":""43""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""1265264""}","{""n"":""7""}","{""n"":""45""}"
"{""n"":""687""}","{""n"":""8647767""}","{""n"":""14""}","{""n"":""238""}"
"{""n"":""150""}","{""n"":""4694""}","{""n"":""52""}","{""n"":""15""}"
"{""n"":""56.00000000000001""}","{""n"":""158119""}","{""n"":""16""}","{""n"":""15""}"
"{""n"":""520""}","{""n"":""2981413""}","{""n"":""50""}","{""n"":""96""}"
"{""n"":""229.99999999999997""}","{""n"":""321342""}","{""n"":""50""}","{""n"":""20""}"
"{""n"":""380""}","{""n"":""6071586""}","{""n"":""46""}","{""n"":""101""}"
"{""n"":""157""}","{""n"":""233204""}","{""n"":""1""}","{""n"":""23""}"
"{""n"":""250""}","{""n"":""0""}","{""n"":""56""}","{""n"":""65""}"
"{""n"":""150""}","{""n"":""221387""}","{""n"":""34""}","{""n"":""19""}"
"{""n"":""200""}","{""n"":""90060""}","{""n"":""34""}","{""n"":""15""}"
"{""n"":""770""}","{""n"":""1654875""}","{""n"":""36""}","{""n"":""33""}"
"{""n"":""150""}","{""n"":""881778""}","{""n"":""53""}","{""n"":""24""}"
"{""n"":""732""}","{""n"":""3549524""}","{""n"":""39""}","{""n"":""59""}"
"{""n"":""150""}","{""n"":""8484638""}","{""n"":""21""}","{""n"":""179""}"
"{""n"":""1000""}","{""n"":""13992298""}","{""n"":""41""}","{""n"":""236""}"
"{""n"":""200""}","{""n"":""0""}","{""n"":""6""}","{""n"":""15""}"
"{""n"":""1550""}","{""n"":""242023128""}","{""n"":""24""}","{""n"":""2054""}"
"{""n"":""320""}","{""n"":""0""}","{""n"":""39""}","{""n"":""15""}"
"{""n"":""600""}","{""n"":""662586""}","{""n"":""29""}","{""n"":""42""}"
"{""n"":""101""}","{""n"":""1109743""}","{""n"":""18""}","{""n"":""21""}"
"{""n"":""180""}","{""n"":""1226056""}","{""n"":""16""}","{""n"":""30""}"
"{""n"":""100""}","{""n"":""5717421""}","{""n"":""57""}","{""n"":""116""}"
"{""n"":""800""}","{""n"":""69434710""}","{""n"":""23""}","{""n"":""968""}"
"{""n"":""256""}","{""n"":""3852281""}","{""n"":""14""}","{""n"":""84""}"
"{""n"":""180""}","{""n"":""0""}","{""n"":""42""}","{""n"":""15""}"
"{""n"":""336""}","{""n"":""1099204""}","{""n"":""45""}","{""n"":""38""}"
"{""n"":""736""}","{""n"":""0""}","{""n"":""37""}","{""n"":""15""}"
"{""n"":""1817""}","{""n"":""90154030""}","{""n"":""30""}","{""n"":""1679""}"
"{""n"":""325""}","{""n"":""66293931""}","{""n"":""38""}","{""n"":""1019""}"
"{""n"":""2250""}","{""n"":""54535230""}","{""n"":""58""}","{""n"":""1746""}"
"{""n"":""600""}","{""n"":""0""}","{""n"":""51""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""1852565""}","{""n"":""33""}","{""n"":""61""}"
"{""n"":""925""}","{""n"":""11182453""}","{""n"":""8""}","{""n"":""287""}"
"{""n"":""570""}","{""n"":""2581272""}","{""n"":""32""}","{""n"":""110""}"
"{""n"":""225""}","{""n"":""0""}","{""n"":""55""}","{""n"":""15""}"
"{""n"":""150""}","{""n"":""1094570""}","{""n"":""22""}","{""n"":""27""}"
"{""n"":""200""}","{""n"":""31944""}","{""n"":""29""}","{""n"":""15""}"
"{""n"":""150""}","{""n"":""342631""}","{""n"":""36""}","{""n"":""19""}"
"{""n"":""4980""}","{""n"":""60584482""}","{""n"":""54""}","{""n"":""916""}"
"{""n"":""1200""}","{""n"":""2781920""}","{""n"":""42""}","{""n"":""45""}"
"{""n"":""200""}","{""n"":""779443""}","{""n"":""38""}","{""n"":""21""}"
"{""n"":""150""}","{""n"":""4729782""}","{""n"":""51""}","{""n"":""120""}"
"{""n"":""1351""}","{""n"":""7098411""}","{""n"":""13""}","{""n"":""231""}"
"{""n"":""250""}","{""n"":""92176421""}","{""n"":""3""}","{""n"":""1138""}"
"{""n"":""566""}","{""n"":""2331528""}","{""n"":""58""}","{""n"":""138""}"
"{""n"":""150""}","{""n"":""65858""}","{""n"":""20""}","{""n"":""15""}"
"{""n"":""600""}","{""n"":""5861992""}","{""n"":""24""}","{""n"":""199""}"
"{""n"":""200""}","{""n"":""0""}","{""n"":""9""}","{""n"":""15""}"
"{""n"":""329""}","{""n"":""11916374""}","{""n"":""14""}","{""n"":""175""}"
"{""n"":""450""}","{""n"":""31438516""}","{""n"":""6""}","{""n"":""1369""}"
"{""n"":""400""}","{""n"":""791741""}","{""n"":""32""}","{""n"":""28""}"
"{""n"":""140""}","{""n"":""264699""}","{""n"":""13""}","{""n"":""19""}"
"{""n"":""250""}","{""n"":""98720456""}","{""n"":""9""}","{""n"":""1141""}"
"{""n"":""180""}","{""n"":""1377970""}","{""n"":""2""}","{""n"":""53""}"
"{""n"":""180""}","{""n"":""447131""}","{""n"":""35""}","{""n"":""21""}"
"{""n"":""1160""}","{""n"":""116644190""}","{""n"":""19""}","{""n"":""1569""}"
"{""n"":""520""}","{""n"":""31999""}","{""n"":""36""}","{""n"":""15""}"
"{""n"":""350""}","{""n"":""2032607""}","{""n"":""56""}","{""n"":""138""}"
"{""n"":""200""}","{""n"":""5662622""}","{""n"":""60""}","{""n"":""145""}"
"{""n"":""80""}","{""n"":""411666""}","{""n"":""42""}","{""n"":""18""}"
"{""n"":""250""}","{""n"":""2010""}","{""n"":""43""}","{""n"":""15""}"
"{""n"":""975""}","{""n"":""13247617""}","{""n"":""46""}","{""n"":""185""}"
"{""n"":""125""}","{""n"":""412399""}","{""n"":""52""}","{""n"":""18""}"
"{""n"":""350""}","{""n"":""24270974""}","{""n"":""41""}","{""n"":""203""}"
"{""n"":""200""}","{""n"":""4254766""}","{""n"":""27""}","{""n"":""56""}"
"{""n"":""35""}","{""n"":""0""}","{""n"":""34""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""770885""}","{""n"":""51""}","{""n"":""38""}"
"{""n"":""105""}","{""n"":""36064""}","{""n"":""54""}","{""n"":""15""}"
"{""n"":""450""}","{""n"":""2321758""}","{""n"":""20""}","{""n"":""117""}"
"{""n"":""250""}","{""n"":""126722251""}","{""n"":""34""}","{""n"":""717""}"
"{""n"":""200""}","{""n"":""95995""}","{""n"":""37""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""199545""}","{""n"":""2""}","{""n"":""15""}"
"{""n"":""154""}","{""n"":""2591769""}","{""n"":""24""}","{""n"":""38""}"
"{""n"":""229.99999999999997""}","{""n"":""3177436""}","{""n"":""18""}","{""n"":""75""}"
"{""n"":""200""}","{""n"":""276685""}","{""n"":""50""}","{""n"":""21""}"
"{""n"":""300""}","{""n"":""28005""}","{""n"":""23""}","{""n"":""15""}"
"{""n"":""555""}","{""n"":""19941564""}","{""n"":""14""}","{""n"":""413""}"
"{""n"":""150""}","{""n"":""640370""}","{""n"":""35""}","{""n"":""15""}"
"{""n"":""1170""}","{""n"":""14457574""}","{""n"":""59""}","{""n"":""798""}"
"{""n"":""200""}","{""n"":""470148""}","{""n"":""21""}","{""n"":""25""}"
"{""n"":""320""}","{""n"":""0""}","{""n"":""53""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""255029""}","{""n"":""21""}","{""n"":""28""}"
"{""n"":""200""}","{""n"":""597739""}","{""n"":""21""}","{""n"":""75""}"
"{""n"":""600""}","{""n"":""2950459""}","{""n"":""22""}","{""n"":""127""}"
"{""n"":""250""}","{""n"":""3380215""}","{""n"":""19""}","{""n"":""99""}"
"{""n"":""200""}","{""n"":""6074774""}","{""n"":""52""}","{""n"":""128""}"
"{""n"":""715""}","{""n"":""3085588""}","{""n"":""47""}","{""n"":""68""}"
"{""n"":""250""}","{""n"":""4632114""}","{""n"":""57""}","{""n"":""365""}"
"{""n"":""250""}","{""n"":""91631""}","{""n"":""18""}","{""n"":""15""}"
"{""n"":""172""}","{""n"":""104069""}","{""n"":""54""}","{""n"":""15""}"
"{""n"":""100""}","{""n"":""4351""}","{""n"":""45""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""2242490""}","{""n"":""14""}","{""n"":""61""}"
"{""n"":""600""}","{""n"":""902020""}","{""n"":""37""}","{""n"":""24""}"
"{""n"":""140""}","{""n"":""738880""}","{""n"":""11""}","{""n"":""27""}"
"{""n"":""225""}","{""n"":""40011""}","{""n"":""26""}","{""n"":""15""}"
"{""n"":""300""}","{""n"":""2121256""}","{""n"":""5""}","{""n"":""78""}"
"{""n"":""200""}","{""n"":""22423699""}","{""n"":""43""}","{""n"":""103""}"
"{""n"":""450""}","{""n"":""30169""}","{""n"":""23""}","{""n"":""15""}"
"{""n"":""49""}","{""n"":""28911""}","{""n"":""11""}","{""n"":""15""}"
"{""n"":""179""}","{""n"":""102291369""}","{""n"":""6""}","{""n"":""1846""}"
"{""n"":""250""}","{""n"":""896351""}","{""n"":""49""}","{""n"":""38""}"
"{""n"":""200""}","{""n"":""0""}","{""n"":""7""}","{""n"":""15""}"
"{""n"":""120""}","{""n"":""251632""}","{""n"":""17""}","{""n"":""18""}"
"{""n"":""150""}","{""n"":""120262""}","{""n"":""59""}","{""n"":""15""}"
"{""n"":""150""}","{""n"":""536026""}","{""n"":""48""}","{""n"":""18""}"
"{""n"":""101""}","{""n"":""6622542""}","{""n"":""30""}","{""n"":""53""}"
"{""n"":""150""}","{""n"":""11929""}","{""n"":""27""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""17981364""}","{""n"":""47""}","{""n"":""305""}"
"{""n"":""172""}","{""n"":""2876313""}","{""n"":""43""}","{""n"":""42""}"
"{""n"":""140""}","{""n"":""0""}","{""n"":""39""}","{""n"":""15""}"
"{""n"":""56.00000000000001""}","{""n"":""1813705""}","{""n"":""11""}","{""n"":""23""}"
"{""n"":""250""}","{""n"":""515737""}","{""n"":""8""}","{""n"":""25""}"
"{""n"":""750""}","{""n"":""156100""}","{""n"":""50""}","{""n"":""15""}"
"{""n"":""100""}","{""n"":""57530930""}","{""n"":""37""}","{""n"":""333""}"
"{""n"":""250""}","{""n"":""20015""}","{""n"":""24""}","{""n"":""15""}"
"{""n"":""450""}","{""n"":""209996""}","{""n"":""37""}","{""n"":""15""}"
"{""n"":""149""}","{""n"":""0""}","{""n"":""16""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""3165612""}","{""n"":""60""}","{""n"":""180""}"
"{""n"":""250""}","{""n"":""20058""}","{""n"":""26""}","{""n"":""15""}"
"{""n"":""425""}","{""n"":""1445067""}","{""n"":""9""}","{""n"":""64""}"
"{""n"":""200""}","{""n"":""2256166""}","{""n"":""3""}","{""n"":""130""}"
"{""n"":""750""}","{""n"":""1089468""}","{""n"":""34""}","{""n"":""40""}"
"{""n"":""427""}","{""n"":""489557""}","{""n"":""7""}","{""n"":""23""}"
"{""n"":""400""}","{""n"":""0""}","{""n"":""2""}","{""n"":""15""}"
"{""n"":""210""}","{""n"":""323078""}","{""n"":""36""}","{""n"":""20""}"
"{""n"":""200""}","{""n"":""1087238""}","{""n"":""5""}","{""n"":""60""}"
"{""n"":""200""}","{""n"":""23416""}","{""n"":""31""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""2313236""}","{""n"":""36""}","{""n"":""87""}"
"{""n"":""825""}","{""n"":""23847561""}","{""n"":""56""}","{""n"":""554""}"
"{""n"":""150""}","{""n"":""26004""}","{""n"":""10""}","{""n"":""15""}"
"{""n"":""390""}","{""n"":""143581""}","{""n"":""47""}","{""n"":""15""}"
"{""n"":""150""}","{""n"":""2749132""}","{""n"":""38""}","{""n"":""38""}"
"{""n"":""500""}","{""n"":""277647""}","{""n"":""45""}","{""n"":""20""}"
"{""n"":""200""}","{""n"":""331286""}","{""n"":""30""}","{""n"":""23""}"
"{""n"":""570""}","{""n"":""7513204""}","{""n"":""57""}","{""n"":""245""}"
"{""n"":""1597""}","{""n"":""117796133""}","{""n"":""26""}","{""n"":""1812""}"
"{""n"":""1100""}","{""n"":""4924655""}","{""n"":""39""}","{""n"":""55""}"
"{""n"":""680""}","{""n"":""12176902""}","{""n"":""18""}","{""n"":""314""}"
"{""n"":""250""}","{""n"":""0""}","{""n"":""14""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""536592""}","{""n"":""31""}","{""n"":""25""}"
"{""n"":""149""}","{""n"":""4685378""}","{""n"":""14""}","{""n"":""84""}"
"{""n"":""500""}","{""n"":""25335783""}","{""n"":""22""}","{""n"":""679""}"
"{""n"":""250""}","{""n"":""1218532""}","{""n"":""35""}","{""n"":""45""}"
"{""n"":""460""}","{""n"":""3246533""}","{""n"":""25""}","{""n"":""125""}"
"{""n"":""105""}","{""n"":""230548""}","{""n"":""10""}","{""n"":""18""}"
"{""n"":""625""}","{""n"":""108955521""}","{""n"":""52""}","{""n"":""885""}"
"{""n"":""530""}","{""n"":""607923""}","{""n"":""23""}","{""n"":""23""}"
"{""n"":""400""}","{""n"":""61578""}","{""n"":""8""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""1040496""}","{""n"":""17""}","{""n"":""38""}"
"{""n"":""320""}","{""n"":""48044""}","{""n"":""60""}",NA
"{""n"":""200""}","{""n"":""2425128""}","{""n"":""21""}","{""n"":""87""}"
"{""n"":""320""}","{""n"":""554511010""}","{""n"":""8""}","{""n"":""1782""}"
"{""n"":""325""}","{""n"":""92050""}","{""n"":""20""}","{""n"":""15""}"
"{""n"":""450""}","{""n"":""105985""}","{""n"":""14""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""235978""}","{""n"":""51""}","{""n"":""23""}"
"{""n"":""250""}","{""n"":""582410""}","{""n"":""37""}","{""n"":""23""}"
"{""n"":""180""}","{""n"":""706683""}","{""n"":""18""}","{""n"":""30""}"
"{""n"":""229.99999999999997""}","{""n"":""278416""}","{""n"":""45""}","{""n"":""20""}"
"{""n"":""850""}","{""n"":""8161518""}","{""n"":""3""}","{""n"":""519""}"
"{""n"":""557""}","{""n"":""487613""}","{""n"":""53""}","{""n"":""18""}"
"{""n"":""200""}","{""n"":""0""}","{""n"":""35""}","{""n"":""15""}"
"{""n"":""172""}","{""n"":""251504""}","{""n"":""32""}","{""n"":""19""}"
"{""n"":""450""}","{""n"":""7931065""}","{""n"":""48""}","{""n"":""222""}"
"{""n"":""635""}","{""n"":""1372787""}","{""n"":""16""}","{""n"":""53""}"
"{""n"":""180""}","{""n"":""0""}","{""n"":""50""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""558101""}","{""n"":""35""}","{""n"":""25""}"
"{""n"":""150""}","{""n"":""0""}","{""n"":""56""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""981476""}","{""n"":""35""}","{""n"":""100""}"
"{""n"":""550""}","{""n"":""0""}","{""n"":""46""}","{""n"":""15""}"
"{""n"":""600""}","{""n"":""114990""}","{""n"":""6""}","{""n"":""15""}"
"{""n"":""300""}","{""n"":""992050""}","{""n"":""49""}","{""n"":""60""}"
"{""n"":""200""}","{""n"":""3083610""}","{""n"":""22""}","{""n"":""103""}"
"{""n"":""172""}","{""n"":""664380""}","{""n"":""39""}","{""n"":""19""}"
"{""n"":""500""}","{""n"":""33339417""}","{""n"":""10""}","{""n"":""657""}"
"{""n"":""200""}","{""n"":""279382""}","{""n"":""47""}","{""n"":""21""}"
"{""n"":""1075""}","{""n"":""3833253""}","{""n"":""17""}","{""n"":""126""}"
"{""n"":""225""}","{""n"":""0""}","{""n"":""36""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""181888""}","{""n"":""8""}","{""n"":""15""}"
"{""n"":""1626""}","{""n"":""255422""}","{""n"":""8""}","{""n"":""15""}"
"{""n"":""472""}","{""n"":""0""}","{""n"":""40""}","{""n"":""15""}"
"{""n"":""700""}","{""n"":""59777122""}","{""n"":""27""}","{""n"":""652""}"
"{""n"":""200""}","{""n"":""908072""}","{""n"":""54""}","{""n"":""32""}"
"{""n"":""900""}","{""n"":""0""}","{""n"":""26""}","{""n"":""15""}"
"{""n"":""180""}","{""n"":""145379""}","{""n"":""46""}","{""n"":""15""}"
"{""n"":""822""}","{""n"":""219401902""}","{""n"":""39""}","{""n"":""687""}"
"{""n"":""900""}","{""n"":""28003""}","{""n"":""58""}","{""n"":""15""}"
"{""n"":""256""}","{""n"":""310237""}","{""n"":""20""}","{""n"":""19""}"
"{""n"":""900""}","{""n"":""0""}","{""n"":""56""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""316287""}","{""n"":""44""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""5846492""}","{""n"":""23""}","{""n"":""109""}"
"{""n"":""200""}","{""n"":""212384""}","{""n"":""50""}","{""n"":""15""}"
"{""n"":""300""}","{""n"":""736123""}","{""n"":""37""}","{""n"":""24""}"
"{""n"":""550""}","{""n"":""1112681""}","{""n"":""30""}","{""n"":""120""}"
"{""n"":""150""}","{""n"":""0""}","{""n"":""46""}","{""n"":""15""}"
"{""n"":""600""}","{""n"":""145205""}","{""n"":""9""}","{""n"":""15""}"
"{""n"":""550""}","{""n"":""3003387""}","{""n"":""30""}","{""n"":""91""}"
"{""n"":""2200""}","{""n"":""178237499""}","{""n"":""43""}","{""n"":""1461""}"
"{""n"":""600""}","{""n"":""31890""}","{""n"":""12""}","{""n"":""15""}"
"{""n"":""385""}","{""n"":""564045""}","{""n"":""36""}","{""n"":""25""}"
"{""n"":""150""}","{""n"":""467377""}","{""n"":""39""}","{""n"":""20""}"
"{""n"":""150""}","{""n"":""989550""}","{""n"":""20""}","{""n"":""34""}"
"{""n"":""125""}","{""n"":""3212596""}","{""n"":""40""}","{""n"":""50""}"
